"","Facility","Name","Address","City","State","Zip","County","Longitude","Latitude","Naics","Year","TRDGHG","Combustion","Process","Process_Coke","Process_DRF","Process_Taconite","Process_Sinter","Waste","Fac_Type","unit"
"1",1000159,"US Steel (Fairfield Works)","5700 VALLEY ROAD","FAIRFIELD","AL","35064","Jefferson",-86.9261,33.4833,331110,2020,171551.382,124079.774,2237.2,0,0,0,0,1804.35,"EAF","Mt CO2e"
"2",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2011,317305.558,129576.796,187596.9,0,0,0,0,0,"EAF","Mt CO2e"
"3",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2012,343743.604,131197.828,212470.5,0,0,0,0,0,"EAF","Mt CO2e"
"4",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2013,389986.928,177698.796,212107.7,0,0,0,0,0,"EAF","Mt CO2e"
"5",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2014,450586.268,180656.151,269747,0,0,0,0,0,"EAF","Mt CO2e"
"6",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2015,453091.968,180854.151,272054.7,0,0,0,0,0,"EAF","Mt CO2e"
"7",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2016,593651.988,136073.816,457440.7,0,0,0,0,0,"EAF","Mt CO2e"
"8",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2017,383258,133120.65,250003.1,0,0,0,0,0,"EAF","Mt CO2e"
"9",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2018,401422.34,134855.505,266429.9,0,0,0,0,0,"EAF","Mt CO2e"
"10",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2019,516196.218,127283.541,388783.5,0,0,0,0,0,"EAF","Mt CO2e"
"11",1005976,"NUCOR STEEL DECATUR","4301 IVERSON BOULEVARD","TRINITY","AL","35673","MORGAN COUNTY",-87.089036,34.638906,331110,2020,551514.698,132632.651,418747.5,0,0,0,0,0,"EAF","Mt CO2e"
"12",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2011,134334.586,39075.747,95239,0,0,0,0,0,"EAF","Mt CO2e"
"13",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2012,124468.292,41723.869,82702,0,0,0,0,0,"EAF","Mt CO2e"
"14",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2013,128707.52,34643.615,94029,0,0,0,0,0,"EAF","Mt CO2e"
"15",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2014,166108.644,41595.058,124471.7,0,0,0,0,0,"EAF","Mt CO2e"
"16",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2015,115172.688,42954.691,72174.5,0,0,0,0,0,"EAF","Mt CO2e"
"17",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2016,97811.036,43329.002,54438,0,0,0,0,0,"EAF","Mt CO2e"
"18",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2017,168977.228,45503.846,123427.2,0,0,0,0,0,"EAF","Mt CO2e"
"19",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2018,146394.416,48825.012,97517.2,0,0,0,0,0,"EAF","Mt CO2e"
"20",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2019,179010.192,41718.469,137249.3,0,0,0,0,0,"EAF","Mt CO2e"
"21",1000029,"NUCOR STEEL SEATTLE INC","2424 SOUTHWEST ANDOVER STREET","SEATTLE","WA","98106","KING COUNTY",-122.367332,47.569331,331110,2020,119980.328,45677.446,74256.7,0,0,0,0,0,"EAF","Mt CO2e"
"22",1005755,"CASCADE STEEL ROLLING MILLS INC","3200 NE HWY 99W","MCMINNVILLE","OR","97128","YAMHILL COUNTY",-123.15905,45.22863,331110,2011,73339.092,41849.469,31447.2,0,0,0,0,0,"EAF","Mt CO2e"
"23",1005755,"CASCADE STEEL ROLLING MILLS INC","3200 NE HWY 99W","MCMINNVILLE","OR","97128","YAMHILL COUNTY",-123.15905,45.22863,331110,2012,73076.938,43015.201,30018,0,0,0,0,0,"EAF","Mt CO2e"
"24",1005755,"CASCADE STEEL ROLLING MILLS INC","3200 NE HWY 99W","MCMINNVILLE","OR","97128","YAMHILL COUNTY",-123.15905,45.22863,331110,2013,80810.428,45534.246,35230,0,0,0,0,0,"EAF","Mt CO2e"
"25",1005755,"CASCADE STEEL ROLLING MILLS INC","3200 NE HWY 99W","MCMINNVILLE","OR","97128","YAMHILL COUNTY",-123.15905,45.22863,331110,2014,80546.472,47165.379,33333.3,0,0,0,0,0,"EAF","Mt CO2e"
